"Host","NumPubs"
"spatula clypeata",4
"spatula discors",8
"spatula querquedula",4
"speothos venaticus",37
"spermophilus alashanicus",4
"spermophilus citellus",37
"spermophilus dauricus",42
"spermophilus erythrogenys",5
"spermophilus fulvus",9
"spermophilus pygmaeus",10
"spheniscus demersus",123
"spheniscus humboldti",63
"spheniscus magellanicus",120
"spilogale gracilis",10
"spilogale putorius",23
"spilopelia chinensis",4
"spilopelia senegalensis",8
"spinus atratus",0
"spinus cucullatus",2
"spinus magellanicus",2
"spinus pinus",8
"spinus psaltria",2
"spinus spinus",76
"spinus tristis",16
"spizella passerina",22
"sporophila angolensis",5
"sporophila caerulescens",7
"stenella clymene",9
"stenella coeruleoalba",273
"stenella frontalis",57
"stenella longirostris",63
"steno bredanensis",48
"stenocephalemys albipes",6
"stercorarius antarcticus",7
"stercorarius lonnbergi",4
"stercorarius maccormicki",6
"stercorarius parasiticus",8
"stercorarius skua",33
"sterna hirundo",132
"sternula albifrons",4
"sternula antillarum",11
"streptopelia capicola",5
"streptopelia decaocto",59
"streptopelia orientalis",16
"streptopelia risoria",179
"streptopelia semitorquata",2
"streptopelia tranquebarica",5
"streptopelia turtur",26
"strigops habroptila",2
"strix aluco",111
"strix nebulosa",12
"strix occidentalis",50
"strix uralensis",25
"strix varia",56
"struthio camelus",508
"sturnella magna",12
"sturnira lilium",60
"sturnira ludovici",5
"sturnira tildae",0
"sturnus cineraceus",4
"sturnus sericeus",3
"sturnus unicolor",35
"sturnus vulgaris",683
"sula dactylatra",14
"sula sula",448
"suncus murinus",715
"sundamys infraluteus",0
"sundamys muelleri",11
"sundasciurus hippurus",1
"sundasciurus lowii",1
"suricata suricatta",148
"surnia ulula",0
"sus barbatus",12
"sus celebensis",11
"sus scrofa",3141
"sus verrucosus",7
"sylvia atricapilla",106
"sylvia borin",62
"sylvia communis",19
"sylvia nisoria",2
"sylvicapra grimmia",28
"sylvilagus aquaticus",6
"sylvilagus audubonii",20
"sylvilagus bachmani",16
"sylvilagus brasiliensis",10
"sylvilagus floridanus",141
"sylvilagus nuttallii",15
"sylvilagus palustris",12
"sylvisorex ollula",3
"symphalangus syndactylus",58
"synaptomys borealis",1
"syncerus caffer",391
"syrrhaptes paradoxus",0
"tachybaptus novaehollandiae",1
"tachybaptus ruficollis",10
"tachyeres pteneres",0
"tachyglossus aculeatus",202
"tachyoryctes splendens",9
"tadarida brasiliensis",174
"tadarida teniotis",17
"tadorna ferruginea",17
"tadorna radjah",0
"tadorna tadorna",46
"tadorna tadornoides",2
"taeniopygia guttata",985
"talpa europaea",124
"talpa romana",8
"tamandua tetradactyla",82
"tamias amoenus",23
"tamias dorsalis",1
"tamias merriami",4
"tamias minimus",16
"tamias ochrogenys",5
"tamias quadrivittatus",3
"tamias sibiricus",66
"tamias sonomae",1
"tamias speciosus",12
"tamias striatus",125
"tamias umbrinus",1
"tamiasciurus douglasii",12
"tamiasciurus hudsonicus",123
"tamiops swinhoei",6
"tangara arthus",0
"tanygnathus lucionensis",1
"taphozous longimanus",11
"taphozous mauritianus",3
"taphozous melanopogon",23
"taphozous perforatus",6
"taphozous theobaldi",2
"tapirus bairdii",29
"tapirus indicus",35
"tapirus terrestris",67
"tarsiger cyanurus",5
"tatera indica",64
"tauraco erythrolophus",2
"taxidea taxus",39
"tayassu pecari",78
"tephrodornis virgatus",0
"terathopius ecaudatus",4
"terpsiphone viridis",2
"terricola subterraneus",3
"tetracerus quadricornis",7
"tetrao urogallus",69
"tetrastes bonasia",8
"tetrax tetrax",78
"thalassarche chrysostoma",18
"thalassarche melanophris",21
"thalasseus elegans",1
"thalasseus sandvicensis",6
"thallomys nigricauda",4
"thamnophilus amazonicus",1
"thaptomys nigrita",11
"thectocercus acuticaudatus",0
"theropithecus gelada",103
"thinornis novaeseelandiae",1
"thomomys talpoides",22
"thoopterus nigrescens",0
"threskiornis aethiopicus",12
"threskiornis molucca",6
"thryomanes bewickii",0
"thryonomys swinderianus",74
"thryothorus ludovicianus",14
"thylogale billardierii",24
"thylogale stigmatica",11
"thyroptera tricolor",11
"todiramphus cinnamominus",0
"tolmomyias poliocephalus",0
"tolypeutes matacus",13
"tonatia bidens",1
"toxostoma redivivum",1
"toxostoma rufum",13
"trachops cirrhosus",27
"trachypithecus auratus",12
"trachypithecus cristatus",21
"trachypithecus francoisi",33
"trachypithecus obscurus",10
"trachypithecus phayrei",16
"trachypithecus pileatus",11
"trachypithecus vetulus",5
"tragelaphus angasii",19
"tragelaphus eurycerus",29
"tragelaphus imberbis",14
"tragelaphus oryx",33
"tragelaphus scriptus",42
"tragelaphus spekii",10
"tragelaphus strepsiceros",92
"tragopan caboti",1
"tragulus javanicus",43
"transandinomys bolivaris",1
"tremarctos ornatus",29
"treron pompadora",0
"treron sieboldii",1
"triaenops afer",2
"triaenops persicus",3
"trichechus inunguis",27
"trichechus manatus",215
"trichoglossus chlorolepidotus",2
"trichoglossus euteles",0
"trichoglossus forsteni",0
"trichoglossus haematodus",28
"trichoglossus moluccanus",7
"trichoglossus rubritorquis",2
"trichosurus vulpecula",762
"tringa brevipes",1
"tringa flavipes",8
"tringa glareola",5
"tringa melanoleuca",3
"tringa nebularia",1
"tringa ochropus",4
"tringa semipalmata",9
"tringa totanus",21
"trinomys iheringi",5
"troglodytes troglodytes",2653
"trogon viridis",4
"tscherskia triton",26
"tupaia belangeri",460
"tupaia chinensis",101
"tupaia glis",225
"tupaia tana",13
"turdus amaurochalinus",10
"turdus grayi",10
"turdus hortulorum",5
"turdus iliacus",11
"turdus libonyana",0
"turdus merula",230
"turdus migratorius",110
"turdus nudigenis",3
"turdus pallidus",10
"turdus philomelos",71
"turdus pilaris",9
"turdus rufiventris",23
"turdus viscivorus",5
"tursiops aduncus",116
"tursiops truncatus",1299
"tylomys nudicaudus",2
"tylonycteris pachypus",13
"tympanuchus cupido",46
"tympanuchus phasianellus",8
"tyrannus melancholicus",5
"tyto alba",299
"upucerthia dumetaria",1
"upupa epops",41
"uraeginthus bengalus",1
"uranomys ruddi",3
"uria aalge",147
"uria lomvia",113
"urocissa erythroryncha",1
"urocitellus columbianus",8
"urocitellus parryii",39
"urocitellus richardsonii",25
"urocitellus undulatus",5
"urocyon cinereoargenteus",104
"urocyon littoralis",40
"uroderma bilobatum",18
"uromys caudimaculatus",2
"urotrichus talpoides",26
"ursus americanus",345
"ursus arctos",579
"ursus maritimus",414
"ursus thibetanus",126
"urva javanica",0
"vampyrodes caraccioli",1
"vampyrum spectrum",3
"vandeleuria oleracea",5
"vanellus coronatus",2
"vanellus spinosus",3
"vanellus vanellus",49
"varecia rubra",43
"varecia variegata",105
"vespadelus pumilus",2
"vespertilio murinus",13
"vespertilio sinensis",9
"vestiaria coccinea",9
"vicugna pacos",230
"vicugna vicugna",270
"vireo flavifrons",1
"vireo gilvus",4
"vireo griseus",3
"vireo olivaceus",17
"viverricula indica",9
"vombatus ursinus",69
"vulpes chama",4
"vulpes corsac",13
"vulpes ferrilata",12
"vulpes lagopus",164
"vulpes macrotis",32
"vulpes velox",16
"vulpes vulpes",1600
"vulpes zerda",16
"wallabia bicolor",54
"willisornis poecilinotus",1
"xerus erythropus",11
"xerus inauris",20
"zalophus californianus",420
"zalophus wollebaeki",32
"zanda funerea",0
"zapus hudsonius",15
"zenaida auriculata",28
"zenaida macroura",67
"ziphius cavirostris",71
"zonotrichia albicollis",98
"zonotrichia capensis",68
"zonotrichia leucophrys",211
"zoothera dauma",1
"zosterops japonicus",13
"zosterops lateralis",34
"zygodontomys brevicauda",31
"zygodontomys cherriei",5
"acrocephalus baeticatus",4
"akodon molinae",16
"arctictis binturong",21
"ateles hybridus",19
"atherurus macrourus",2
"callicebus nigrifrons",22
"callicebus ornatus",0
"capra caucasica",2
"cavia cutleri",0
"cephalophus natalensis",10
"cercopithecus doggetti",2
"cercopithecus erythrogaster",2
"cercopithecus roloway",1
"chodsigoa caovansunga",1
"cricetomys ansorgei",6
"crocidura flavescens",3
"cynomys parvidens",9
"dryomys laniger",1
"eliomys melanurus",4
"euchoreutes naso",4
"felis chaus",19
"galictis vittata",3
"gazella bennettii",6
"geothlypis formosa",0
"glirulus japonicus",3
"gracilinanus microtarsus",13
"graphiurus kelleni",5
"graphiurus microtis",1
"graphiurus ocularis",2
"heliosciurus undulatus",0
"hybomys univittatus",3
"hystrix cristata",41
"jaculus jaculus",97
"lagothrix lugens",9
"lipotes vexillifer",24
"lonchorhina aurita",5
"lophostoma brasiliense",0
"loris tardigradus",41
"loxodonta cyclotis",58
"macaca assamensis",84
"macaca brunnescens",2
"macaca hecki",6
"macaca munzala",8
"macaca speciosa",90
"mesocricetus brandti",50
"mico emiliae",1
"muscardinus avellanarius",36
"myotis formosus",6
"nanger soemmerringii",2
"neophocaena asiaeorientalis",84
"neotragus moschatus",8
"noctilio leporinus",20
"nyctalus leisleri",14
"oryzomys texensis",1
"plecturocebus cupreus",9
"profelis aurata",2
"propithecus diadema",39
"pteropus rayneri",0
"raphicerus melanotis",4
"setophaga caerulescens",12
"sturnira parvidens",7
