"Host","HostClass","HostOrder","HostFamily","HostGenus","ZoonoticHost","PathogenRichness","ZoonoticPathogenRichness","Pathogens","ZoonoticPathogens","HostCriteria"
"eptesicus isabellinus","mammalia","chiroptera","vespertilionidae","eptesicus",TRUE,1,1,"european bat 1 lyssavirus","european bat 1 lyssavirus","Broad (serology, sequencing or isolation)"
"eptesicus serotinus","mammalia","chiroptera","vespertilionidae","eptesicus",TRUE,11,5,"pasteurella multocida, ophiosacculus mehelyi, plagiorchis muelleri, trypanosoma dionisii, dyoomegapapillomavirus 1, dyopsipapillomavirus 1, european bat 1 lyssavirus, hantaan orthohantavirus, mammalian orthoreovirus, orthohepevirus d, rabies lyssavirus","pasteurella multocida, european bat 1 lyssavirus, hantaan orthohantavirus, mammalian orthoreovirus, rabies lyssavirus","Broad (serology, sequencing or isolation)"
"equulites elongatus","actinopteri","chaetodontiformes","leiognathidae","equulites",FALSE,1,0,"photobacterium leiognathi","","Broad (serology, sequencing or isolation)"
"equulites leuciscus","actinopteri","chaetodontiformes","leiognathidae","equulites",FALSE,1,0,"photobacterium leiognathi","","Broad (serology, sequencing or isolation)"
"equulites rivulatus","actinopteri","chaetodontiformes","leiognathidae","equulites",FALSE,1,0,"photobacterium leiognathi","","Broad (serology, sequencing or isolation)"
"equulites stercorarius","actinopteri","chaetodontiformes","leiognathidae","equulites",FALSE,1,0,"photobacterium leiognathi","","Broad (serology, sequencing or isolation)"
"equus asinus","mammalia","perissodactyla","equidae","equus",TRUE,68,24,"anaplasma phagocytophilum, burkholderia mallei, dermatophilus congolensis, enterococcus asini, francisella tularensis, staphylococcus hyicus, staphylococcus pseudintermedius, taylorella asinigenitalis, coronocyclus coronatus, coronocyclus labiatus, coronocyclus labratus, cyathostomum catinatum, cyathostomum pateratum, cyathostomum tetracanthum, cylicocyclus auriculatus, cylicocyclus elongatus, cylicocyclus insigne, cylicocyclus leptostomus, cylicocyclus nassatus, cylicocyclus radiatus, cylicostephanus calicatus, cylicostephanus goldi, cylicostephanus longibursatus, cylicostephanus minutus, habronema majus, habronema muscae, oxyuris equi, setaria equina, strongylus edentatus, strongylus equinus, strongylus vulgaris, triodontophorus serratus, besnoitia bennetti, cryptosporidium parvum, theileria equi, african horse sickness virus, alphaarterivirus equid, betacoronavirus 1, bimiti orthobunyavirus, bwamba orthobunyavirus, chenuda virus, crimean-congo hemorrhagic fever orthonairovirus, deltapapillomavirus 4, dyochipapillomavirus 1, equid alphaherpesvirus 1, equid alphaherpesvirus 8, equid alphaherpesvirus 9, equid gammaherpesvirus 2, equid gammaherpesvirus 5, equid gammaherpesvirus 7, equine encephalosis virus, equine infectious anemia virus, hepacivirus a, human picobirnavirus, indiana vesiculovirus, influenza a virus, mammalian 1 orthobornavirus, middle east respiratory syndrome-related coronavirus, molluscum contagiosum virus, orthohepevirus a, rabies lyssavirus, rotavirus a, thogoto thogotovirus, venezuelan equine encephalitis virus, vesicular exanthema of swine virus, wesselsbron virus, west nile virus, yunnan orbivirus","anaplasma phagocytophilum, burkholderia mallei, dermatophilus congolensis, francisella tularensis, staphylococcus hyicus, staphylococcus pseudintermedius, cryptosporidium parvum, betacoronavirus 1, bwamba orthobunyavirus, crimean-congo hemorrhagic fever orthonairovirus, human picobirnavirus, indiana vesiculovirus, influenza a virus, mammalian 1 orthobornavirus, middle east respiratory syndrome-related coronavirus, molluscum contagiosum virus, orthohepevirus a, rabies lyssavirus, rotavirus a, thogoto thogotovirus, venezuelan equine encephalitis virus, vesicular exanthema of swine virus, wesselsbron virus, west nile virus","Broad (serology, sequencing or isolation)"
"equus asinus x caballus","mammalia","perissodactyla","equidae","equus",TRUE,6,3,"alagoas vesiculovirus, deltapapillomavirus 4, equid alphaherpesvirus 1, influenza a virus, rabies lyssavirus, venezuelan equine encephalitis virus","influenza a virus, rabies lyssavirus, venezuelan equine encephalitis virus","Broad (serology, sequencing or isolation)"
"equus burchellii","mammalia","perissodactyla","equidae","equus",TRUE,36,7,"bacillus anthracis, leptospira interrogans, pasteurella multocida, staphylococcus aureus, streptococcus equi, anoplocephala perfoliata, cyathostomum tetracanthum, cylicocyclus adersi, cylicocyclus auriculatus, cylicocyclus insigne, cylicostephanus bidentatus, cylicostephanus calicatus, cylicostephanus minutus, habronema majus, oesophagodontus robustus, oxyuris equi, parascaris equorum, poteriostomum ratzii, setaria equina, strongyloides westeri, strongylus asini, strongylus edentatus, strongylus vulgaris, triodontophorus minor, triodontophorus serratus, african horse sickness virus, akabane orthobunyavirus, alphaarterivirus equid, crimean-congo hemorrhagic fever orthonairovirus, equid alphaherpesvirus 1, equid alphaherpesvirus 4, equid alphaherpesvirus 9, equid gammaherpesvirus 2, equid gammaherpesvirus 5, equine encephalosis virus, rift valley fever phlebovirus","bacillus anthracis, leptospira interrogans, pasteurella multocida, staphylococcus aureus, streptococcus equi, crimean-congo hemorrhagic fever orthonairovirus, rift valley fever phlebovirus","Broad (serology, sequencing or isolation)"
"equus caballus","mammalia","perissodactyla","equidae","equus",TRUE,317,172,"[clostridium] piliforme, [pasteurella] mairii, acholeplasma equifetale, acholeplasma hippikon, acholeplasma oculi, acholeplasma parvum, acinetobacter baumannii, acinetobacter beijerinckii, acinetobacter gandensis, actinobacillus arthritidis, actinobacillus equuli, actinobacillus lignieresii, actinobacillus suis, actinomyces denticolens, actinomyces viscosus, aerococcus urinaeequi, aliarcobacter butzleri, amycolatopsis kentuckyensis, amycolatopsis lexingtonensis, amycolatopsis pretoriensis, anaplasma phagocytophilum, arcanobacterium haemolyticum, arcanobacterium hippocoleae, atopobium fossor, bacillus anthracis, bacillus cereus, bacteroides fragilis, bacteroides heparinolyticus, bordetella bronchiseptica, borrelia parkeri, borrelia theileri, borreliella burgdorferi, borreliella lusitaniae, brachyspira pilosicoli, brucella suis, burkholderia mallei, burkholderia pseudomallei, cellulosimicrobium cellulans, chlamydia abortus, chlamydia caviae, chlamydia pneumoniae, chlamydia psittaci, clostridioides difficile, clostridium botulinum, clostridium chauvoei, clostridium fallax, clostridium haemolyticum, clostridium novyi, clostridium perfringens, clostridium septicum, clostridium tetani, corynebacterium diphtheriae, corynebacterium matruchotii, corynebacterium pseudotuberculosis, corynebacterium uterequi, coxiella burnetii, crossiella equi, cutibacterium acnes, dermatophilus congolensis, ehrlichia chaffeensis, eikenella corrodens, enterococcus cecorum, enterococcus durans, enterococcus faecium, eremococcus coleocola, erysipelothrix rhusiopathiae, escherichia coli, escherichia fergusonii, francisella tularensis, fusobacterium equinum, fusobacterium necrophorum, gardnerella vaginalis, hafnia alvei, helcococcus ovis, helicobacter equorum, klebsiella pneumoniae, lacticaseibacillus pantheris, lawsonia intracellularis, leptospira interrogans, leptospira kirschneri, leptospira weilii, ligilactobacillus equi, ligilactobacillus ruminis, limosilactobacillus mucosae, listeria monocytogenes, mammaliicoccus fleurettii, mammaliicoccus sciuri, moraxella bovoculi, mycobacterium avium, mycobacterium genavense, mycobacterium tuberculosis, mycobacterium ulcerans, mycoplasma bovigenitalium, mycoplasma felis, neorickettsia risticii, nicoletella semolina, nocardia asteroides, nocardia brasiliensis, nocardia nova, paeniclostridium sordellii, pantoea agglomerans, pasteurella caballi, pasteurella canis, pasteurella multocida, proteus mirabilis, pseudomonas aeruginosa, raoultella terrigena, rhodococcus hoagii, rickettsia rickettsii, rodentibacter pneumotropicus, salmonella enterica, serratia marcescens, staphylococcus aureus, staphylococcus capitis, staphylococcus delphini, staphylococcus epidermidis, staphylococcus haemolyticus, staphylococcus hyicus, staphylococcus intermedius, staphylococcus kloosii, staphylococcus pseudintermedius, staphylococcus xylosus, stenotrophomonas maltophilia, streptococcus agalactiae, streptococcus dysgalactiae, streptococcus equi, streptococcus equinus, streptococcus pneumoniae, streptococcus suis, taylorella asinigenitalis, taylorella equigenitalis, treponema phagedenis, treponema refringens, trueperella pyogenes, vagococcus fluvialis, yersinia pseudotuberculosis, arthroderma uncinatum, aspergillus sydowii, candida albicans, cryptococcus neoformans, enterocytozoon bieneusi, malassezia sympodialis, pilobolus kleinii, pilobolus longipes, pilobolus sphaerosporus, pythium insidiosum, sporothrix schenckii, thermomyces lanuginosus, trichophyton mentagrophytes, anoplocephala perfoliata, coronocyclus coronatus, coronocyclus labiatus, coronocyclus labratus, craterostomum acuticaudatum, cyathostomum catinatum, cyathostomum pateratum, cylicocyclus ashworthi, cylicocyclus elongatus, cylicocyclus insigne, cylicocyclus leptostomus, cylicocyclus nassatus, cylicocyclus radiatus, cylicostephanus bidentatus, cylicostephanus calicatus, cylicostephanus goldi, cylicostephanus longibursatus, cylicostephanus minutus, echinococcus equinus, echinococcus granulosus, echinococcus vogeli, equinia mamillana, fasciola hepatica, habronema majus, habronema muscae, heterobilharzia americana, oesophagodontus robustus, oxyuris equi, parapoteriostomum euproctus, parapoteriostomum mettami, parascaris equorum, parelaphostrongylus tenuis, petrovinema poculatum, poteriostomum imparidentatum, poteriostomum ratzii, strongylus edentatus, strongylus equinus, strongylus vulgaris, thelazia lacrymalis, trichinella spiralis, triodontophorus brevicauda, triodontophorus nipponicus, triodontophorus serratus, rhinosporidium seeberi, babesia bovis, babesia caballi, babesia gibsoni, babesia microti, blastocystis hominis, blepharocorys uncinata, cryptosporidium parvum, cycloposthium bipalmatum, entamoeba equi, neospora caninum, neospora hughesi, sarcocystis neurona, theileria equi, theileria sergenti, triadinium caudatum, trichomonas equibuccalis, trypanosoma equiperdum, trypanosoma evansi, adeno-associated dependoparvovirus a, african horse sickness virus, akabane orthobunyavirus, alagoas vesiculovirus, alphaarterivirus equid, anopheles a orthobunyavirus, anopheles b orthobunyavirus, aura virus, australian bat lyssavirus, barmah forest virus, betacoronavirus 1, bovine alphaherpesvirus 1, bovine alphaherpesvirus 5, bunyamwera orthobunyavirus, cabassou virus, cache valley orthobunyavirus, cacipacore virus, california encephalitis orthobunyavirus, cardiovirus a, chobar gorge virus, cocal vesiculovirus, colorado tick fever coltivirus, corriparta virus, cowpox virus, crimean-congo hemorrhagic fever orthonairovirus, deltapapillomavirus 4, dyoiotapapillomavirus 1, dyoiotapapillomavirus 2, dyorhopapillomavirus 1, eastern equine encephalitis virus, equid alphaherpesvirus 1, equid alphaherpesvirus 3, equid alphaherpesvirus 4, equid alphaherpesvirus 8, equid alphaherpesvirus 9, equid gammaherpesvirus 2, equid gammaherpesvirus 5, equine encephalosis virus, equine foamy virus, equine infectious anemia virus, equine mastadenovirus a, equine mastadenovirus b, equine rhinitis a virus, equine torovirus, equus caballus polyomavirus 1, erbovirus a, fort sherman orthobunyavirus, getah virus, hendra henipavirus, hepacivirus a, hepacivirus c, highlands j virus, horse associated cyclovirus 1, human picobirnavirus, ilheus virus, indiana vesiculovirus, influenza a virus, japanese encephalitis virus, kairi orthobunyavirus, kokobera virus, kotonkan ephemerovirus, louping ill virus, madariaga virus, main drain orthobunyavirus, mammalian 1 orthobornavirus, mammalian orthorubulavirus 5, mayaro virus, middelburg virus, molluscum contagiosum virus, murray valley encephalitis virus, new jersey vesiculovirus, nipah henipavirus, orthohepevirus a, ovine gammaherpesvirus 2, pegivirus d, pegivirus e, peruvian horse sickness virus, pestivirus a, powassan virus, rabies lyssavirus, rift valley fever phlebovirus, ross river virus, rotavirus a, rotavirus b, saint louis encephalitis virus, salem salemvirus, semliki forest virus, sepik virus, shuni orthobunyavirus, sindbis virus, suid alphaherpesvirus 1, tacaiuma orthobunyavirus, tacheng uukuvirus, tibrogargan tibrovirus, tick-borne encephalitis virus, treiskappapapillomavirus 1, turlock orthobunyavirus, una virus, ungulate copiparvovirus 6, usutu virus, vaccinia virus, venezuelan equine encephalitis virus, wesselsbron virus, west nile virus, western equine encephalitis virus, zetapapillomavirus 1","[clostridium] piliforme, acholeplasma oculi, acinetobacter baumannii, acinetobacter beijerinckii, actinobacillus equuli, actinobacillus lignieresii, actinobacillus suis, actinomyces denticolens, actinomyces viscosus, aliarcobacter butzleri, anaplasma phagocytophilum, arcanobacterium haemolyticum, bacillus anthracis, bacillus cereus, bacteroides fragilis, bacteroides heparinolyticus, bordetella bronchiseptica, borrelia parkeri, borreliella burgdorferi, borreliella lusitaniae, brachyspira pilosicoli, brucella suis, burkholderia mallei, burkholderia pseudomallei, cellulosimicrobium cellulans, chlamydia abortus, chlamydia caviae, chlamydia pneumoniae, chlamydia psittaci, clostridioides difficile, clostridium botulinum, clostridium chauvoei, clostridium fallax, clostridium novyi, clostridium perfringens, clostridium septicum, clostridium tetani, corynebacterium diphtheriae, corynebacterium matruchotii, corynebacterium pseudotuberculosis, coxiella burnetii, cutibacterium acnes, dermatophilus congolensis, ehrlichia chaffeensis, eikenella corrodens, enterococcus cecorum, enterococcus durans, enterococcus faecium, erysipelothrix rhusiopathiae, escherichia coli, escherichia fergusonii, francisella tularensis, fusobacterium necrophorum, gardnerella vaginalis, hafnia alvei, klebsiella pneumoniae, leptospira interrogans, leptospira kirschneri, leptospira weilii, ligilactobacillus ruminis, limosilactobacillus mucosae, listeria monocytogenes, mammaliicoccus sciuri, mycobacterium avium, mycobacterium genavense, mycobacterium tuberculosis, mycobacterium ulcerans, mycoplasma felis, nocardia asteroides, nocardia brasiliensis, nocardia nova, paeniclostridium sordellii, pantoea agglomerans, pasteurella caballi, pasteurella canis, pasteurella multocida, proteus mirabilis, pseudomonas aeruginosa, rhodococcus hoagii, rickettsia rickettsii, rodentibacter pneumotropicus, salmonella enterica, serratia marcescens, staphylococcus aureus, staphylococcus capitis, staphylococcus epidermidis, staphylococcus haemolyticus, staphylococcus hyicus, staphylococcus intermedius, staphylococcus pseudintermedius, staphylococcus xylosus, stenotrophomonas maltophilia, streptococcus agalactiae, streptococcus dysgalactiae, streptococcus equi, streptococcus equinus, streptococcus pneumoniae, streptococcus suis, trueperella pyogenes, vagococcus fluvialis, yersinia pseudotuberculosis, aspergillus sydowii, candida albicans, cryptococcus neoformans, enterocytozoon bieneusi, malassezia sympodialis, pythium insidiosum, sporothrix schenckii, trichophyton mentagrophytes, echinococcus granulosus, echinococcus vogeli, fasciola hepatica, rhinosporidium seeberi, babesia microti, blastocystis hominis, cryptosporidium parvum, adeno-associated dependoparvovirus a, anopheles a orthobunyavirus, australian bat lyssavirus, barmah forest virus, betacoronavirus 1, bunyamwera orthobunyavirus, cache valley orthobunyavirus, cacipacore virus, california encephalitis orthobunyavirus, cardiovirus a, colorado tick fever coltivirus, cowpox virus, crimean-congo hemorrhagic fever orthonairovirus, eastern equine encephalitis virus, fort sherman orthobunyavirus, getah virus, hendra henipavirus, hepacivirus c, human picobirnavirus, ilheus virus, indiana vesiculovirus, influenza a virus, japanese encephalitis virus, louping ill virus, madariaga virus, mammalian 1 orthobornavirus, mammalian orthorubulavirus 5, mayaro virus, middelburg virus, molluscum contagiosum virus, murray valley encephalitis virus, new jersey vesiculovirus, nipah henipavirus, orthohepevirus a, pestivirus a, powassan virus, rabies lyssavirus, rift valley fever phlebovirus, ross river virus, rotavirus a, rotavirus b, saint louis encephalitis virus, semliki forest virus, shuni orthobunyavirus, sindbis virus, suid alphaherpesvirus 1, tacaiuma orthobunyavirus, tacheng uukuvirus, tick-borne encephalitis virus, turlock orthobunyavirus, usutu virus, vaccinia virus, venezuelan equine encephalitis virus, wesselsbron virus, west nile virus, western equine encephalitis virus","Broad (serology, sequencing or isolation)"
"equus caballus x asinus","mammalia","perissodactyla","equidae","equus",TRUE,1,1,"west nile virus","west nile virus","Broad (serology, sequencing or isolation)"
"equus ferus","mammalia","perissodactyla","equidae","equus",TRUE,20,9,"australian bat lyssavirus, cowpox virus, deltapapillomavirus 4, dyorhopapillomavirus 1, eastern equine encephalitis virus, equid alphaherpesvirus 8, equid gammaherpesvirus 2, equine infectious anemia virus, equine picobirnavirus, hepacivirus a, influenza a virus, lama associated gemycircularvirus 1, madariaga virus, mammalian 1 orthobornavirus, pegivirus d, pegivirus e, rabies lyssavirus, venezuelan equine encephalitis virus, western equine encephalitis virus, zetapapillomavirus 1","australian bat lyssavirus, cowpox virus, eastern equine encephalitis virus, influenza a virus, madariaga virus, mammalian 1 orthobornavirus, rabies lyssavirus, venezuelan equine encephalitis virus, western equine encephalitis virus","Broad (serology, sequencing or isolation)"
"equus grevyi","mammalia","perissodactyla","equidae","equus",TRUE,17,8,"bacillus anthracis, enterococcus faecalis, escherichia coli, leptospira interrogans, staphylococcus sp., dictyocaulus sp., haemonchus contortus, parascaris sp., balantioides coli, cystoisospora belli, entamoeba coli, entamoeba histolytica, theileria equi, equid alphaherpesvirus 1, equid alphaherpesvirus 9, equid gammaherpesvirus 2, equid gammaherpesvirus 5","bacillus anthracis, enterococcus faecalis, escherichia coli, leptospira interrogans, balantioides coli, cystoisospora belli, entamoeba coli, entamoeba histolytica","Broad (serology, sequencing or isolation)"
"equus hemionus","mammalia","perissodactyla","equidae","equus",FALSE,3,0,"cylicocyclus nassatus, equid alphaherpesvirus 1, equid alphaherpesvirus 9","","Broad (serology, sequencing or isolation)"
"equus kiang","mammalia","perissodactyla","equidae","equus",FALSE,3,0,"equid alphaherpesvirus 9, equid gammaherpesvirus 2, equid gammaherpesvirus 5","","Broad (serology, sequencing or isolation)"
"equus przewalskii","mammalia","perissodactyla","equidae","equus",TRUE,5,2,"cylicocyclus nassatus, equid gammaherpesvirus 2, equid gammaherpesvirus 5, influenza a virus, orthohepevirus a","influenza a virus, orthohepevirus a","Broad (serology, sequencing or isolation)"
"equus zebra","mammalia","perissodactyla","equidae","equus",TRUE,23,5,"actinobacillus equuli, bacillus anthracis, dermatophilus congolensis, rhodococcus hoagii, wohlfahrtiimonas chitiniclastica, cyathostomum tetracanthum, cylicocyclus adersi, cylicocyclus auriculatus, cylicostephanus bidentatus, cylicostephanus calicatus, cylicostephanus minutus, habronema majus, oxyuris equi, setaria equina, strongylus equinus, triodontophorus serratus, entamoeba equi, theileria equi, deltapapillomavirus 4, equid alphaherpesvirus 1, equid alphaherpesvirus 4, equid gammaherpesvirus 2, equid gammaherpesvirus 5","actinobacillus equuli, bacillus anthracis, dermatophilus congolensis, rhodococcus hoagii, wohlfahrtiimonas chitiniclastica","Broad (serology, sequencing or isolation)"
"eremophila alpestris","aves","passeriformes","alaudidae","eremophila",TRUE,1,1,"clostridium botulinum","clostridium botulinum","Broad (serology, sequencing or isolation)"
"erethizon dorsatum","mammalia","rodentia","erethizontidae","erethizon",TRUE,10,7,"francisella tularensis, yersinia enterocolitica, trichophyton benhamiae, monoecocestus americanus, california encephalitis orthobunyavirus, colorado tick fever coltivirus, powassan virus, rabies lyssavirus, sigmapapillomavirus 1, skunk mastadenovirus a","francisella tularensis, yersinia enterocolitica, trichophyton benhamiae, california encephalitis orthobunyavirus, colorado tick fever coltivirus, powassan virus, rabies lyssavirus","Broad (serology, sequencing or isolation)"
"eretmochelys imbricata",NA,"testudines","cheloniidae","eretmochelys",TRUE,3,2,"mycobacterium marinum, fusarium falciforme, chelonid alphaherpesvirus 5","mycobacterium marinum, fusarium falciforme","Broad (serology, sequencing or isolation)"
"erignathus barbatus","mammalia","carnivora","phocidae","erignathus",TRUE,11,4,"leptospira interrogans, pasteurella canis, contracaecum osculatum, otostrongylus circumlitus, pseudoterranova bulbosa, trichinella spiralis, giardia intestinalis, neospora caninum, toxoplasma gondii, phocid alphaherpesvirus 1, phocid gammaherpesvirus 2","leptospira interrogans, pasteurella canis, giardia intestinalis, toxoplasma gondii","Broad (serology, sequencing or isolation)"
"erinaceus europaeus","mammalia","eulipotyphla","erinaceidae","erinaceus",TRUE,22,17,"anaplasma phagocytophilum, bordetella bronchiseptica, borreliella afzelii, borreliella bavariensis, coxiella burnetii, francisella tularensis, leptospira interrogans, mycobacterium avium, mycobacterium marinum, mycobacterium tuberculosis, salmonella enterica, yersinia pseudotuberculosis, trichophyton benhamiae, crenosoma striatum, cryptosporidium parvum, carnivore protoparvovirus 1, dabie bandavirus, dyoetapapillomavirus 1, foot-and-mouth disease virus, hedgehog coronavirus 1, hepatovirus h, human alphaherpesvirus 1","anaplasma phagocytophilum, bordetella bronchiseptica, borreliella afzelii, borreliella bavariensis, coxiella burnetii, francisella tularensis, leptospira interrogans, mycobacterium avium, mycobacterium marinum, mycobacterium tuberculosis, salmonella enterica, yersinia pseudotuberculosis, trichophyton benhamiae, cryptosporidium parvum, dabie bandavirus, foot-and-mouth disease virus, human alphaherpesvirus 1","Broad (serology, sequencing or isolation)"
"erinaceus roumanicus","mammalia","eulipotyphla","erinaceidae","erinaceus",TRUE,4,3,"borreliella afzelii, borreliella bavariensis, cadicivirus b, tick-borne encephalitis virus","borreliella afzelii, borreliella bavariensis, tick-borne encephalitis virus","Broad (serology, sequencing or isolation)"
"erithacus rubecula","aves","passeriformes","turdidae","erithacus",TRUE,4,3,"escherichia coli, avian metaavulavirus 2, sindbis virus, usutu virus","escherichia coli, sindbis virus, usutu virus","Broad (serology, sequencing or isolation)"
"erythrocebus patas","mammalia","primates","cercopithecidae","erythrocebus",TRUE,21,18,"burkholderia pseudomallei, citrobacter freundii, francisella tularensis, mycobacterium scrofulaceum, treponema pallidum, oesophagostomum bifurcum, entamoeba coli, entamoeba hartmanni, cercopithecine alphaherpesvirus 9, chikungunya virus, deltaarterivirus hemfev, dengue virus, dugbe orthonairovirus, hepatovirus a, macacine alphaherpesvirus 1, papiine gammaherpesvirus 1, primate t-lymphotropic virus 1, simian immunodeficiency virus, west nile virus, yaba monkey tumor virus, yellow fever virus","burkholderia pseudomallei, citrobacter freundii, francisella tularensis, mycobacterium scrofulaceum, treponema pallidum, oesophagostomum bifurcum, entamoeba coli, entamoeba hartmanni, chikungunya virus, dengue virus, dugbe orthonairovirus, hepatovirus a, macacine alphaherpesvirus 1, papiine gammaherpesvirus 1, primate t-lymphotropic virus 1, simian immunodeficiency virus, west nile virus, yellow fever virus","Broad (serology, sequencing or isolation)"
"erythrogonys cinctus","aves","charadriiformes","charadriidae","erythrogonys",TRUE,1,1,"avian orthoavulavirus 1","avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"erythrura psittacea","aves","passeriformes","estrildidae","erythrura",TRUE,1,1,"bordetella avium","bordetella avium","Broad (serology, sequencing or isolation)"
"eschrichtius robustus","mammalia","artiodactyla","eschrichtiidae","eschrichtius",TRUE,1,1,"vesicular exanthema of swine virus","vesicular exanthema of swine virus","Broad (serology, sequencing or isolation)"
"esox lucius","actinopteri","esociformes","esocidae","esox",TRUE,14,1,"aeromonas salmonicida, gyrodactylus lucii, raphidascaris acus, tetraonchus monenteron, triaenophorus crassus, triaenophorus nodulosus, tylodelphys scheuringi, trypanosoma carassii, carp sprivivirus, cyprinid herpesvirus 3, infectious pancreatic necrosis virus, pike fry sprivivirus, piscine novirhabdovirus, salmonid novirhabdovirus","aeromonas salmonicida","Broad (serology, sequencing or isolation)"
"esox masquinongy","actinopteri","esociformes","esocidae","esox",FALSE,3,0,"aquareovirus c, fathead minnow nidovirus 1, piscine novirhabdovirus","","Broad (serology, sequencing or isolation)"
"esox niger","actinopteri","esociformes","esocidae","esox",FALSE,1,0,"santee-cooper ranavirus","","Broad (serology, sequencing or isolation)"
"estrilda melpoda","aves","passeriformes","estrildidae","estrilda",TRUE,2,2,"ingwavuma orthobunyavirus, manzanilla orthobunyavirus","ingwavuma orthobunyavirus, manzanilla orthobunyavirus","Broad (serology, sequencing or isolation)"
"estrilda troglodytes","aves","passeriformes","estrildidae","estrilda",FALSE,1,0,"passeriform 2 orthobornavirus","","Broad (serology, sequencing or isolation)"
"etheostoma nigrum","actinopteri","perciformes","percidae","etheostoma",FALSE,2,0,"clinostomum marginatum, ichthyocotylurus pileatus","","Broad (serology, sequencing or isolation)"
"etmopterus spinax","chondrichthyes","squaliformes","etmopteridae","etmopterus",FALSE,2,0,"anisakis physeteris, aporhynchus norvegicus","","Broad (serology, sequencing or isolation)"
"etroplus canarensis","actinopteri","cichliformes","cichlidae","etroplus",TRUE,1,1,"infectious spleen and kidney necrosis virus","infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"etroplus maculatus","actinopteri","cichliformes","cichlidae","etroplus",TRUE,3,3,"enterobacter cloacae, lactococcus lactis, pseudomonas aeruginosa","enterobacter cloacae, lactococcus lactis, pseudomonas aeruginosa","Broad (serology, sequencing or isolation)"
"etroplus suratensis","actinopteri","cichliformes","cichlidae","etroplus",TRUE,8,6,"bacillus licheniformis, bacillus thuringiensis, lysinibacillus fusiformis, priestia flexa, pseudomonas aeruginosa, serratia proteamaculans, vibrio mimicus, tilapia tilapinevirus","bacillus licheniformis, bacillus thuringiensis, priestia flexa, pseudomonas aeruginosa, serratia proteamaculans, vibrio mimicus","Broad (serology, sequencing or isolation)"
"eubalaena australis","mammalia","artiodactyla","balaenidae","eubalaena",TRUE,3,2,"[candida] zeylanoides, cryptococcus neoformans, cetacean morbillivirus","[candida] zeylanoides, cryptococcus neoformans","Broad (serology, sequencing or isolation)"
"eubleekeria jonesi","actinopteri","chaetodontiformes","leiognathidae","eubleekeria",FALSE,1,0,"photobacterium leiognathi","","Broad (serology, sequencing or isolation)"
"eublepharis macularius","lepidosauria","squamata","eublepharidae","eublepharis",TRUE,4,2,"salmonella enterica, cryptosporidium parvum, cryptosporidium serpentis, cryptosporidium varanii","salmonella enterica, cryptosporidium parvum","Broad (serology, sequencing or isolation)"
"eucyclogobius newberryi","actinopteri","gobiiformes","gobiidae","eucyclogobius",FALSE,1,0,"kabatana newberryi","","Broad (serology, sequencing or isolation)"
"euderma maculatum","mammalia","chiroptera","vespertilionidae","euderma",TRUE,1,1,"rabies lyssavirus","rabies lyssavirus","Broad (serology, sequencing or isolation)"
"eudocimus albus","aves","pelecaniformes","threskiornithidae","eudocimus",TRUE,2,1,"ibirhynchus dimorpha, eastern equine encephalitis virus","eastern equine encephalitis virus","Broad (serology, sequencing or isolation)"
"eudorcas thomsonii","mammalia","artiodactyla","bovidae","eudorcas",TRUE,7,3,"giardia intestinalis, akabane orthobunyavirus, bluetongue virus, equid alphaherpesvirus 1, equid alphaherpesvirus 9, foot-and-mouth disease virus, small ruminant morbillivirus","giardia intestinalis, foot-and-mouth disease virus, small ruminant morbillivirus","Broad (serology, sequencing or isolation)"
"eudyptes chrysocome","aves","sphenisciformes","spheniscidae","eudyptes",TRUE,1,1,"edwardsiella tarda","edwardsiella tarda","Broad (serology, sequencing or isolation)"
"eudyptes chrysolophus","aves","sphenisciformes","spheniscidae","eudyptes",TRUE,2,1,"burkholderia pseudomallei, gadgets gully virus","burkholderia pseudomallei","Broad (serology, sequencing or isolation)"
"eudyptula minor","aves","sphenisciformes","spheniscidae","eudyptula",TRUE,3,1,"erysipelothrix rhusiopathiae, contracaecum eudyptulae, beak and feather disease virus","erysipelothrix rhusiopathiae","Broad (serology, sequencing or isolation)"
"eulamprus heatwolei","lepidosauria","squamata","scincidae","eulamprus",TRUE,1,1,"salmonella enterica","salmonella enterica","Broad (serology, sequencing or isolation)"
"eulemur albifrons","mammalia","primates","lemuridae","eulemur",TRUE,2,1,"lactobacillus sp., cardiovirus a","cardiovirus a","Broad (serology, sequencing or isolation)"
"eulemur fulvus","mammalia","primates","lemuridae","eulemur",TRUE,5,4,"acinetobacter lwoffii, lemuricola vauceli, giardia intestinalis, chikungunya virus, west nile virus","acinetobacter lwoffii, giardia intestinalis, chikungunya virus, west nile virus","Broad (serology, sequencing or isolation)"
"eulemur macaco","mammalia","primates","lemuridae","eulemur",TRUE,8,5,"bacillus cereus, enterococcus sp., escherichia coli, klebsiella pneumoniae, staphylococcus sp., streptococcus sp., toxoplasma gondii, cardiovirus a","bacillus cereus, escherichia coli, klebsiella pneumoniae, toxoplasma gondii, cardiovirus a","Broad (serology, sequencing or isolation)"
"eulemur mongoz","mammalia","primates","lemuridae","eulemur",FALSE,1,0,"lemuricola vauceli","","Broad (serology, sequencing or isolation)"
